"neighbourhood","avg_price","avg_avail_365","avg_min_nights"
"Kensington",92.8857142857143,83.9485714285714,7.74285714285714
"Midtown",282.719093851133,157.70355987055,11.515857605178
"Harlem",118.974040632054,106.577501881114,6.41459744168548
"Clinton Hill",181.893356643357,95.013986013986,6.69230769230769
"East Harlem",133.198746642793,98.9731423455685,5.85765443151298
"Murray Hill",220.958762886598,173.321649484536,15.5896907216495
"Bedford-Stuyvesant",107.678244480345,116.634625740442,5.68928379106085
"Hell's Kitchen",204.79417773238,138.846782431052,8.16751787538304
"Upper West Side",210.91831557585,96.5834601725013,9.51750380517504
"Chinatown",161.497282608696,90.7961956521739,5.67391304347826
"South Slope",146.725352112676,83.7605633802817,6.65845070422535
"West Village",267.682291666667,85.4596354166667,7.78125
"Williamsburg",143.802806122449,74.7227040816327,6.22831632653061
"Fort Greene",151.374233128834,90.1492842535787,7.49079754601227
"Chelsea",249.738544474394,113.995507637017,10.026055705301
"Crown Heights",112.480179028133,96.0204603580563,5.62212276214834
"Park Slope",176.312252964427,88.7865612648221,8.60869565217391
"Windsor Terrace",138.993630573248,81.8853503184713,8.71337579617834
"Inwood",88.8968253968254,98.5476190476191,5.38888888888889
"East Village",186.083108472747,74.6238532110092,6.46735024284943
"Greenpoint",144.822421524664,79.077130044843,6.39641255605381
"Bushwick",84.8004056795132,95.5509127789047,5.86450304259635
"Flatbush",92.2125603864734,94.4847020933977,5.09500805152979
"Lower East Side",186.312843029638,97.165751920966,6.10867178924259
"Prospect-Lefferts Gardens",110.401869158879,95.1102803738318,5.15700934579439
"Long Island City",127.465549348231,118.256983240223,6.39664804469274
"Kips Bay",202.408510638298,121.717021276596,12.1042553191489
"SoHo",287.103351955307,110.357541899441,5.94134078212291
"Upper East Side",188.948275862069,112.798109010011,9.206340378198
"Prospect Heights",173.372549019608,77.515406162465,5.6890756302521
"Washington Heights",89.6106785317019,98.9321468298109,6.53058954393771
"Woodside",85.0978723404255,130.217021276596,10.3148936170213
"Brooklyn Heights",209.064935064935,66.038961038961,7.52597402597403
"Carroll Gardens",175.914163090129,71.6695278969957,4.57510729613734
"Gowanus",158.801619433198,122.716599190283,5.55060728744939
"Flatlands",126.433734939759,197.240963855422,2.56626506024096
"Cobble Hill",211.929292929293,63.2121212121212,7.38383838383838
"Flushing",93.5140845070423,166.25117370892,3.32159624413146
"Boerum Hill",176.135593220339,77.271186440678,7.75141242937853
"Sunnyside",84.8650137741047,125.707988980716,6.96694214876033
"DUMBO",196.305555555556,114.472222222222,7.66666666666667
"St. George",118.145833333333,191.75,10.5833333333333
"Highbridge",71.1111111111111,158.555555555556,4.14814814814815
"Financial District",225.490591397849,191.536290322581,12.2486559139785
"Ridgewood",77.1843971631206,114.425531914894,8.00472813238771
"Morningside Heights",114.78323699422,43.0549132947977,5.71676300578035
"Jamaica",95.7705627705628,188.506493506494,1.86147186147186
"Middle Village",109.58064516129,211,6.2258064516129
"NoHo",295.717948717949,101.820512820513,5.98717948717949
"Ditmars Steinway",95.0291262135922,117.73786407767,4.33009708737864
"Flatiron District",341.925,123.05,6.225
"Roosevelt Island",113.25974025974,72.5844155844156,6.57142857142857
"Greenwich Village",263.405612244898,82.0510204081633,15.8392857142857
"Little Italy",222.066115702479,100.338842975207,11.4710743801653
"East Flatbush",104.222,180.944,6.42
"Tompkinsville",76.1904761904762,209.428571428571,2.30952380952381
"Astoria",117.187777777778,109.191111111111,6.03666666666667
"Clason Point",112.761904761905,231.285714285714,2.04761904761905
"Eastchester",141.692307692308,333.461538461538,1.69230769230769
"Kingsbridge",77.9285714285714,157.942857142857,5.01428571428571
"Two Bridges",127.069444444444,86.2361111111111,4.875
"Queens Village",83.9333333333333,166.433333333333,3.18333333333333
"Rockaway Beach",132.178571428571,162.428571428571,3.28571428571429
"Forest Hills",121.625,127.736111111111,6.9375
"Nolita",230.138339920949,69.8102766798419,6.92490118577075
"Woodlawn",60.0909090909091,98.2727272727273,1.45454545454545
"University Heights",69.5714285714286,135.285714285714,2.61904761904762
"Gravesend",79.0147058823529,130.191176470588,6.64705882352941
"Gramercy",222.754437869822,94.5266272189349,8.54733727810651
"Allerton",87.5952380952381,163.666666666667,2.21428571428571
"East New York",85.4266055045872,186.536697247706,4.67889908256881
"Theater District",248.013888888889,201.871527777778,12.8020833333333
"Concourse Village",73.78125,159.53125,3.21875
"Sheepshead Bay",105.774390243902,160.536585365854,5.32317073170732
"Emerson Hill",68.2,80.8,1.6
"Fort Hamilton",93.8181818181818,151,6.09090909090909
"Bensonhurst",75.7866666666667,134.84,4.98666666666667
"Tribeca",490.638418079096,126.508474576271,11.3785310734463
"Shore Acres",152.714285714286,114.571428571429,2.85714285714286
"Sunset Park",113.041025641026,106.641025641026,6.51538461538462
"Concourse",86.18,160.04,2.6
"Elmhurst",80.4599156118144,128.396624472574,6.69198312236287
"Brighton Beach",131.933333333333,170.866666666667,4.52
"Jackson Heights",80.8978494623656,150.279569892473,4.98387096774194
"Cypress Hills",128.903703703704,168.496296296296,6.35555555555556
"St. Albans",100.828947368421,225.973684210526,1.88157894736842
"Arrochar",115,255.809523809524,2.76190476190476
"Rego Park",83.877358490566,133.566037735849,5.40566037735849
"Wakefield",85.58,197.7,3.32
"Clifton",84.9333333333333,189.4,1.86666666666667
"Bay Ridge",144.432624113475,142.929078014184,10.0283687943262
"Graniteville",68.6666666666667,163,2.66666666666667
"Spuyten Duyvil",154.75,270,48.25
"Stapleton",98.962962962963,215.62962962963,2.77777777777778
"Briarwood",105.875,177.928571428571,1.89285714285714
"Ozone Park",85.2741935483871,153.838709677419,2.7741935483871
"Columbia St",162.952380952381,69.0952380952381,5.40476190476191
"Vinegar Hill",187.176470588235,79.5294117647059,18.3529411764706
"Mott Haven",88.9166666666667,146.933333333333,2.35
"Longwood",91.9193548387097,154.225806451613,2.66129032258065
"Canarsie",104.367346938776,223.87074829932,2.29251700680272
"Battery Park City",367.557142857143,100.328571428571,30.3285714285714
"Civic Center",191.942307692308,68.2692307692308,7.5
"East Elmhurst",81.1837837837838,169.491891891892,1.80540540540541
"New Springville",76,65.25,2.625
"Morris Heights",76.9411764705882,198.235294117647,1.82352941176471
"Arverne",171.779220779221,188.428571428571,1.64935064935065
"Cambria Heights",81.7307692307692,144.115384615385,2.19230769230769
"Tottenville",144.857142857143,267.571428571429,2.42857142857143
"Mariners Harbor",94.625,191.5,2.375
"Concord",58.1923076923077,255.576923076923,5.15384615384615
"Borough Park",63.0661764705882,168.323529411765,3.19117647058824
"Bayside",157.948717948718,189.923076923077,4.17948717948718
"Downtown Brooklyn",150.349397590361,39.4819277108434,5.89156626506024
"Port Morris",79.8913043478261,152.173913043478,4.28260869565217
"Fieldston",75.0833333333333,143.75,3.08333333333333
"Kew Gardens",88.375,201.15625,5.46875
"Midwood",80.3394495412844,97.8165137614679,8.06422018348624
"College Point",88,141.631578947368,4.15789473684211
"Mount Eden",58.5,136.166666666667,1.83333333333333
"City Island",173,131.222222222222,2.05555555555556
"Glendale",90.7962962962963,147.277777777778,3.83333333333333
"Port Richmond",90.1111111111111,191,10.8888888888889
"Red Hook",143.455696202532,96.2025316455696,3.84810126582278
"Richmond Hill",87.1170212765958,194.936170212766,5.1063829787234
"Bellerose",99.3571428571429,242.857142857143,1.78571428571429
"Maspeth",83.6454545454545,187.509090909091,5.27272727272727
"Williamsbridge",96.75,224.45,5.875
"Soundview",53.4666666666667,133.666666666667,2.13333333333333
"Woodhaven",67.1704545454545,200.920454545455,2.79545454545455
"Woodrow",700,0,7
"Co-op City",77.5,364,2.5
"Stuyvesant Town",169.108108108108,65.1081081081081,10
"Parkchester",69.0769230769231,140.435897435897,4.53846153846154
"North Riverdale",79.9,166,41.4
"Dyker Heights",93.4166666666667,144.75,2.5
"Bronxdale",57.1052631578947,145.421052631579,2.89473684210526
"Sea Gate",487.857142857143,65.5714285714286,4.14285714285714
"Riverdale",442.090909090909,160.818181818182,5.36363636363636
